step,idx,alive,s,v,gap_f,gap_b
16,16,1,81.600000,1.000000,5.000000,5.000000
16,17,1,86.600000,1.000000,5.000000,5.000000
16,18,1,91.600000,1.000000,5.000000,5.000000
16,19,1,96.600000,1.000000,5.000000,5.000000
17,0,1,1.700000,1.000000,5.000000,5.000000
17,1,1,6.700000,1.000000,5.000000,5.000000
17,2,1,11.700000,1.000000,5.000000,5.000000
17,3,1,16.700000,1.000000,5.000000,5.000000
17,4,1,21.700000,1.000000,5.000000,5.000000
17,5,1,26.700000,1.000000,5.000000,5.000000
17,6,1,31.700000,1.000000,5.000000,5.000000
17,7,1,36.700000,1.000000,5.000000,5.000000
17,8,1,41.700000,1.000000,5.000000,5.000000
17,9,1,46.700000,1.000000,5.000000,5.000000
17,10,1,51.700000,1.000000,5.000000,5.000000
17,11,1,56.700000,1.000000,5.000000,5.000000
17,12,1,61.700000,1.000000,5.000000,5.000000
17,13,1,66.700000,1.000000,5.000000,5.000000
17,14,1,71.700000,1.000000,5.000000,5.000000
17,15,1,76.700000,1.000000,5.000000,5.000000
17,16,1,81.700000,1.000000,5.000000,5.000000
17,17,1,86.700000,1.000000,5.000000,5.000000
17,18,1,91.700000,1.000000,5.000000,5.000000
17,19,1,96.700000,1.000000,5.000000,5.000000
18,0,1,1.800000,1.000000,5.000000,5.000000
18,1,1,6.800000,1.000000,5.000000,5.000000
18,2,1,11.800000,1.000000,5.000000,5.000000
18,3,1,16.800000,1.000000,5.000000,5.000000
18,4,1,21.800000,1.000000,5.000000,5.000000
18,5,1,26.800000,1.000000,5.000000,5.000000
18,6,1,31.800000,1.000000,5.000000,5.000000
18,7,1,36.800000,1.000000,5.000000,5.000000
18,8,1,41.800000,1.000000,5.000000,5.000000
18,9,1,46.800000,1.000000,5.000000,5.000000
18,10,1,51.800000,1.000000,5.000000,5.000000
18,11,1,56.800000,1.000000,5.000000,5.000000
18,12,1,61.800000,1.000000,5.000000,5.000000
18,13,1,66.800000,1.000000,5.000000,5.000000
18,14,1,71.800000,1.000000,5.000000,5.000000
18,15,1,76.800000,1.000000,5.000000,5.000000
18,16,1,81.800000,1.000000,5.000000,5.000000
18,17,1,86.800000,1.000000,5.000000,5.000000
18,18,1,91.800000,1.000000,5.000000,5.000000
18,19,1,96.800000,1.000000,5.000000,5.000000
19,0,1,1.900000,1.000000,5.000000,5.000000
19,1,1,6.900000,1.000000,5.000000,5.000000
19,2,1,11.900000,1.000000,5.000000,5.000000
19,3,1,16.900000,1.000000,5.000000,5.000000
19,4,1,21.900000,1.000000,5.000000,5.000000
19,5,1,26.900000,1.000000,5.000000,5.000000
19,6,1,31.900000,1.000000,5.000000,5.000000
19,7,1,36.900000,1.000000,5.000000,5.000000
19,8,1,41.900000,1.000000,5.000000,5.000000
19,9,1,46.900000,1.000000,5.000000,5.000000
19,10,1,51.900000,1.000000,5.000000,5.000000
19,11,1,56.900000,1.000000,5.000000,5.000000
19,12,1,61.900000,1.000000,5.000000,5.000000
19,13,1,66.900000,1.000000,5.000000,5.000000
19,14,1,71.900000,1.000000,5.000000,5.000000
19,15,1,76.900000,1.000000,5.000000,5.000000
19,16,1,81.900000,1.000000,5.000000,5.000000
19,17,1,86.900000,1.000000,5.000000,5.000000
19,18,1,91.900000,1.000000,5.000000,5.000000
19,19,1,96.900000,1.000000,5.000000,5.000000
20,0,1,2.000000,1.000000,5.000000,5.000000
20,1,1,7.000000,1.000000,5.000000,5.000000
20,2,1,12.000000,1.000000,5.000000,5.000000
20,3,1,17.000000,1.000000,5.000000,5.000000
20,4,1,22.000000,1.000000,5.000000,5.000000
20,5,1,27.000000,1.000000,5.000000,5.000000
20,6,1,32.000000,1.000000,5.000000,5.000000
20,7,1,37.000000,1.000000,5.000000,5.000000
20,8,1,42.000000,1.000000,5.000000,5.000000
20,9,1,47.000000,1.000000,5.000000,5.000000
20,10,1,52.000000,1.000000,5.000000,5.000000
20,11,1,57.000000,1.000000,5.000000,5.000000
20,12,1,62.000000,1.000000,5.000000,5.000000
20,13,1,67.000000,1.000000,5.000000,5.000000
20,14,1,72.000000,1.000000,5.000000,5.000000
20,15,1,77.000000,1.000000,5.000000,5.000000
20,16,1,82.000000,1.000000,5.000000,5.000000
20,17,1,87.000000,1.000000,5.000000,5.000000
20,18,1,92.000000,1.000000,5.000000,5.000000
20,19,1,97.000000,1.000000,5.000000,5.000000
21,0,1,2.100000,1.000000,5.000000,5.000000
21,1,1,7.100000,1.000000,5.000000,5.000000
21,2,1,12.100000,1.000000,5.000000,5.000000
21,3,1,17.100000,1.000000,5.000000,5.000000
21,4,1,22.100000,1.000000,5.000000,5.000000
21,5,1,27.100000,1.000000,5.000000,5.000000
21,6,1,32.100000,1.000000,5.000000,5.000000
21,7,1,37.100000,1.000000,5.000000,5.000000
21,8,1,42.100000,1.000000,5.000000,5.000000
21,9,1,47.100000,1.000000,5.000000,5.000000
21,10,1,52.100000,1.000000,5.000000,5.000000
21,11,1,57.100000,1.000000,5.000000,5.000000
21,12,1,62.100000,1.000000,5.000000,5.000000
21,13,1,67.100000,1.000000,5.000000,5.000000
21,14,1,72.100000,1.000000,5.000000,5.000000
21,15,1,77.100000,1.000000,5.000000,5.000000
21,16,1,82.100000,1.000000,5.000000,5.000000
21,17,1,87.100000,1.000000,5.000000,5.000000
21,18,1,92.100000,1.000000,5.000000,5.000000
21,19,1,97.100000,1.000000,5.000000,5.000000
22,0,1,2.200000,1.000000,5.000000,5.000000
22,1,1,7.200000,1.000000,5.000000,5.000000
22,2,1,12.200000,1.000000,5.000000,5.000000
22,3,1,17.200000,1.000000,5.000000,5.000000
22,4,1,22.200000,1.000000,5.000000,5.000000
22,5,1,27.200000,1.000000,5.000000,5.000000
22,6,1,32.200000,1.000000,5.000000,5.000000
22,7,1,37.200000,1.000000,5.000000,5.000000
22,8,1,42.200000,1.000000,5.000000,5.000000
22,9,1,47.200000,1.000000,5.000000,5.000000
22,10,1,52.200000,1.000000,5.000000,5.000000
22,11,1,57.200000,1.000000,5.000000,5.000000
22,12,1,62.200000,1.000000,5.000000,5.000000
22,13,1,67.200000,1.000000,5.000000,5.000000
22,14,1,72.200000,1.000000,5.000000,5.000000
22,15,1,77.200000,1.000000,5.000000,5.000000
22,16,1,82.200000,1.000000,5.000000,5.000000
22,17,1,87.200000,1.000000,5.000000,5.000000
22,18,1,92.200000,1.000000,5.000000,5.000000
22,19,1,97.200000,1.000000,5.000000,5.000000
23,0,1,2.300000,1.000000,5.000000,5.000000
23,1,1,7.300000,1.000000,5.000000,5.000000
23,2,1,12.300000,1.000000,5.000000,5.000000
23,3,1,17.300000,1.000000,5.000000,5.000000
23,4,1,22.300000,1.000000,5.000000,5.000000
23,5,1,27.300000,1.000000,5.000000,5.000000
23,6,1,32.300000,1.000000,5.000000,5.000000
23,7,1,37.300000,1.000000,5.000000,5.000000
23,8,1,42.300000,1.000000,5.000000,5.000000
23,9,1,47.300000,1.000000,5.000000,5.000000
23,10,1,52.300000,1.000000,5.000000,5.000000
23,11,1,57.300000,1.000000,5.000000,5.000000
23,12,1,62.300000,1.000000,5.000000,5.000000
23,13,1,67.300000,1.000000,5.000000,5.000000
23,14,1,72.300000,1.000000,5.000000,5.000000
23,15,1,77.300000,1.000000,5.000000,5.000000
23,16,1,82.300000,1.000000,5.000000,5.000000
23,17,1,87.300000,1.000000,5.000000,5.000000
23,18,1,92.300000,1.000000,5.000000,5.000000
23,19,1,97.300000,1.000000,5.000000,5.000000
24,0,1,2.400000,1.000000,5.000000,5.000000
24,1,1,7.400000,1.000000,5.000000,5.000000
24,2,1,12.400000,1.000000,5.000000,5.000000
24,3,1,17.400000,1.000000,5.000000,5.000000
24,4,1,22.400000,1.000000,5.000000,5.000000
24,5,1,27.400000,1.000000,5.000000,5.000000
24,6,1,32.400000,1.000000,5.000000,5.000000
24,7,1,37.400000,1.000000,5.000000,5.000000
24,8,1,42.400000,1.000000,5.000000,5.000000
24,9,1,47.400000,1.000000,5.000000,5.000000
24,10,1,52.400000,1.000000,5.000000,5.000000
24,11,1,57.400000,1.000000,5.000000,5.000000
24,12,1,62.400000,1.000000,5.000000,5.000000
24,13,1,67.400000,1.000000,5.000000,5.000000
24,14,1,72.400000,1.000000,5.000000,5.000000
24,15,1,77.400000,1.000000,5.000000,5.000000
24,16,1,82.400000,1.000000,5.000000,5.000000
24,17,1,87.400000,1.000000,5.000000,5.000000
24,18,1,92.400000,1.000000,5.000000,5.000000
24,19,1,97.400000,1.000000,5.000000,5.000000
25,0,1,2.500000,1.000000,5.000000,5.000000
25,1,1,7.500000,1.000000,5.000000,5.000000
25,2,1,12.500000,1.000000,5.000000,5.000000
25,3,1,17.500000,1.000000,5.000000,5.000000
25,4,1,22.500000,1.000000,5.000000,5.000000
25,5,1,27.500000,1.000000,5.000000,5.000000
25,6,1,32.500000,1.000000,5.000000,5.000000
25,7,1,37.500000,1.000000,5.000000,5.000000
25,8,1,42.500000,1.000000,5.000000,5.000000
25,9,1,47.500000,1.000000,5.000000,5.000000
25,10,1,52.500000,1.000000,5.000000,5.000000
25,11,1,57.500000,1.000000,5.000000,5.000000
25,12,1,62.500000,1.000000,5.000000,5.000000
25,13,1,67.500000,1.000000,5.000000,5.000000
25,14,1,72.500000,1.000000,5.000000,5.000000
25,15,1,77.500000,1.000000,5.000000,5.000000
25,16,1,82.500000,1.000000,5.000000,5.000000
25,17,1,87.500000,1.000000,5.000000,5.000000
25,18,1,92.500000,1.000000,5.000000,5.000000
25,19,1,97.500000,1.000000,5.000000,5.000000
26,0,1,2.600000,1.000000,5.000000,5.000000
26,1,1,7.600000,1.000000,5.000000,5.000000
26,2,1,12.600000,1.000000,5.000000,5.000000
26,3,1,17.600000,1.000000,5.000000,5.000000
26,4,1,22.600000,1.000000,5.000000,5.000000
26,5,1,27.600000,1.000000,5.000000,5.000000
26,6,1,32.600000,1.000000,5.000000,5.000000
26,7,1,37.600000,1.000000,5.000000,5.000000
26,8,1,42.600000,1.000000,5.000000,5.000000
26,9,1,47.600000,1.000000,5.000000,5.000000
26,10,1,52.600000,1.000000,5.000000,5.000000
26,11,1,57.600000,1.000000,5.000000,5.000000
26,12,1,62.600000,1.000000,5.000000,5.000000
26,13,1,67.600000,1.000000,5.000000,5.000000
26,14,1,72.600000,1.000000,5.000000,5.000000
