step;alive;min_v;max_v;std_v;min_gap;max_gap;std_gap
295;19;1.015051;1.093522;0.027794;5.104939;5.434317;0.117126
296;19;1.015186;1.093303;0.027673;5.105414;5.433515;0.116619
297;19;1.015322;1.093084;0.027553;5.105894;5.432710;0.116115
298;19;1.015459;1.092864;0.027433;5.106379;5.431901;0.115612
299;19;1.015597;1.092643;0.027314;5.106869;5.431089;0.115112
300;19;1.015736;1.092422;0.027196;5.107364;5.430274;0.114614
301;19;1.015875;1.092200;0.027078;5.107864;5.429455;0.114118
302;19;1.016016;1.091978;0.026961;5.108369;5.428634;0.113625
303;19;1.016157;1.091755;0.026844;5.108878;5.427810;0.113133
304;19;1.016300;1.091532;0.026727;5.109392;5.426984;0.112644
305;19;1.016443;1.091309;0.026611;5.109911;5.426154;0.112157
306;19;1.016587;1.091085;0.026496;5.110434;5.425322;0.111671
307;19;1.016732;1.090861;0.026381;5.110962;5.424488;0.111189
308;19;1.016878;1.090636;0.026267;5.111494;5.423651;0.110708
309;19;1.017024;1.090411;0.026153;5.112031;5.422811;0.110229
310;19;1.017172;1.090186;0.026040;5.112572;5.421970;0.109753
311;19;1.017320;1.090043;0.025927;5.113117;5.421126;0.109278
312;19;1.017469;1.089910;0.025815;5.113667;5.420281;0.108806
313;19;1.017619;1.089775;0.025703;5.114221;5.419433;0.108335
314;19;1.017769;1.089638;0.025592;5.114779;5.418583;0.107867
315;19;1.017921;1.089501;0.025481;5.115342;5.417732;0.107401
316;19;1.018073;1.089362;0.025371;5.115908;5.416879;0.106937
317;19;1.018226;1.089222;0.025261;5.116479;5.416024;0.106474
318;19;1.018379;1.089081;0.025151;5.117053;5.415167;0.106014
319;19;1.018534;1.088938;0.025043;5.117631;5.414309;0.105556
320;19;1.018689;1.088795;0.024934;5.118213;5.413450;0.105100
321;19;1.018844;1.088650;0.024826;5.118799;5.412589;0.104646
322;19;1.019001;1.088504;0.024719;5.119389;5.411891;0.104194
323;19;1.019158;1.088357;0.024612;5.119983;5.411374;0.103743
324;19;1.019316;1.088210;0.024505;5.120580;5.410852;0.103295
325;19;1.019475;1.088061;0.024399;5.121181;5.410325;0.102849
326;19;1.019634;1.087911;0.024294;5.121785;5.409793;0.102405
327;19;1.019794;1.087760;0.024189;5.122393;5.409257;0.101962
328;19;1.019947;1.087608;0.024084;5.123004;5.408716;0.101522
329;19;1.020047;1.087456;0.023980;5.123618;5.408171;0.101083
330;19;1.020147;1.087302;0.023876;5.124236;5.407622;0.100647
331;19;1.020248;1.087147;0.023773;5.124857;5.407068;0.100212
332;19;1.020350;1.086992;0.023670;5.125482;5.406510;0.099779
333;19;1.020454;1.086836;0.023568;5.126109;5.405948;0.099348
334;19;1.020558;1.086679;0.023466;5.126740;5.405381;0.098919
335;19;1.020662;1.086521;0.023365;5.127373;5.404811;0.098492
336;19;1.020768;1.086363;0.023264;5.128010;5.404237;0.098066
337;19;1.020875;1.086203;0.023163;5.128650;5.403659;0.097643
338;19;1.020983;1.086043;0.023063;5.129292;5.403078;0.097221
339;19;1.021091;1.085883;0.022963;5.129937;5.402493;0.096801
340;19;1.021200;1.085721;0.022864;5.130585;5.401904;0.096383
341;19;1.021311;1.085559;0.022765;5.131236;5.401312;0.095967
342;19;1.021422;1.085396;0.022667;5.131889;5.400716;0.095553
343;19;1.021533;1.085233;0.022569;5.132545;5.400118;0.095140
344;19;1.021646;1.085069;0.022471;5.133204;5.399516;0.094729
345;19;1.021760;1.084905;0.022374;5.133863;5.398910;0.094320
346;19;1.021874;1.084740;0.022277;5.134263;5.398302;0.093913
347;19;1.021989;1.084574;0.022181;5.134668;5.397691;0.093508
348;19;1.022105;1.084408;0.022085;5.135076;5.397077;0.093104
349;19;1.022222;1.084241;0.021990;5.135489;5.396459;0.092702
350;19;1.022339;1.084074;0.021895;5.135906;5.395840;0.092302
351;19;1.022457;1.083906;0.021800;5.136327;5.395217;0.091903
352;19;1.022576;1.083738;0.021706;5.136752;5.394592;0.091507
353;19;1.022696;1.083569;0.021612;5.137180;5.393964;0.091112
354;19;1.022817;1.083400;0.021519;5.137612;5.393333;0.090718
355;19;1.022938;1.083231;0.021426;5.138049;5.392700;0.090327
356;19;1.023060;1.083061;0.021334;5.138489;5.392065;0.089937
357;19;1.023182;1.082891;0.021241;5.138932;5.391428;0.089549
358;19;1.023305;1.082720;0.021150;5.139379;5.390788;0.089162
359;19;1.023429;1.082549;0.021058;5.139830;5.390146;0.088777
360;19;1.023554;1.082425;0.020967;5.140284;5.389502;0.088394
361;19;1.023679;1.082323;0.020877;5.140742;5.388856;0.088013
362;19;1.023805;1.082220;0.020787;5.141203;5.388207;0.087633
363;19;1.023932;1.082115;0.020697;5.141668;5.387557;0.087254
364;19;1.024059;1.082010;0.020608;5.142136;5.386905;0.086878
365;19;1.024187;1.081904;0.020519;5.142607;5.386252;0.086503
366;19;1.024315;1.081797;0.020430;5.143082;5.385596;0.086130
367;19;1.024444;1.081689;0.020342;5.143559;5.384939;0.085758
368;19;1.024574;1.081580;0.020254;5.144040;5.384280;0.085388
369;19;1.024704;1.081470;0.020166;5.144524;5.383619;0.085019
370;19;1.024835;1.081359;0.020079;5.145011;5.382957;0.084652
371;19;1.024966;1.081248;0.019993;5.145501;5.382294;0.084287
372;19;1.025098;1.081135;0.019906;5.145993;5.381658;0.083923
