step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
214;19;1.029395;0.864211;1.500000;0.128492;4.465056;7.387826;5.263158;0.744807
215;19;1.029918;0.867504;1.500000;0.127850;4.466285;7.360505;5.263158;0.741427
216;19;1.030436;0.870699;1.500000;0.127250;4.467503;7.333841;5.263158;0.738561
217;19;1.030949;0.873798;1.500000;0.126688;4.468713;7.307814;5.263158;0.736196
218;19;1.031456;0.876806;1.500000;0.126165;4.469912;7.282405;5.263158;0.734319
219;19;1.031959;0.879725;1.500000;0.125676;4.471103;7.257596;5.263158;0.732916
220;19;1.032457;0.882558;1.500000;0.125222;4.472285;7.233368;5.263158;0.731973
221;19;1.032950;0.885308;1.500000;0.124800;4.473458;7.209706;5.263158;0.731476
222;19;1.033438;0.887977;1.500000;0.124408;4.474622;7.186591;5.263158;0.731413
223;19;1.033922;0.890569;1.500000;0.124045;4.475778;7.164009;5.263158;0.731768
224;19;1.034402;0.893085;1.500000;0.123709;4.476926;7.141943;5.263158;0.732528
225;19;1.034877;0.895528;1.500000;0.123400;4.478066;7.120378;5.263158;0.733679
226;19;1.035348;0.897901;1.500000;0.123115;4.479199;7.099301;5.263158;0.735207
227;19;1.035814;0.900206;1.500000;0.122853;4.480324;7.078695;5.263158;0.737098
228;19;1.036277;0.902444;1.500000;0.122614;4.481441;7.058549;5.263158;0.739339
229;19;1.036735;0.904619;1.500000;0.122396;4.482552;7.038849;5.263158;0.741915
230;19;1.036986;0.906731;1.496126;0.121426;4.483655;7.027332;5.263158;0.744815
231;19;1.037163;0.908784;1.491012;0.120227;4.484752;7.061033;5.263158;0.747965
232;19;1.037337;0.910779;1.485999;0.119066;4.485843;7.094009;5.263158;0.751329
233;19;1.037507;0.912717;1.481086;0.117941;4.486927;7.126279;5.263158;0.754889
234;19;1.037673;0.914601;1.476269;0.116850;4.488004;7.157861;5.263158;0.758627
235;19;1.037836;0.916433;1.471547;0.115792;4.489076;7.188772;5.263158;0.762528
236;19;1.037995;0.918214;1.466917;0.114766;4.490142;7.219029;5.263158;0.766578
237;19;1.038151;0.919945;1.462376;0.113771;4.491203;7.248650;5.263158;0.770762
238;19;1.038303;0.921628;1.457923;0.112805;4.492257;7.277650;5.263158;0.775068
239;19;1.038453;0.923265;1.453555;0.111867;4.493306;7.306045;5.263158;0.779485
240;19;1.038599;0.924857;1.449271;0.110955;4.492708;7.333850;5.263158;0.783999
241;19;1.038743;0.926406;1.445068;0.110070;4.450678;7.361080;5.263158;0.788602
242;19;1.038883;0.927913;1.440944;0.109209;4.409441;7.387749;5.263158;0.793284
243;19;1.016789;0.695511;1.500000;0.138752;4.368978;7.413872;5.263158;0.798035
244;19;1.017451;0.706999;1.500000;0.137286;4.403411;7.333423;5.263158;0.784288
245;19;1.018104;0.718217;1.500000;0.135900;4.436294;7.254123;5.263158;0.771209
246;19;1.018749;0.729173;1.500000;0.134591;4.467674;7.175945;5.263158;0.758792
247;19;1.019386;0.739874;1.500000;0.133356;4.497599;7.098862;5.263158;0.747032
248;19;1.020016;0.750326;1.500000;0.132191;4.502524;7.022849;5.263158;0.735924
249;19;1.020638;0.760537;1.500000;0.131094;4.503525;6.947882;5.263158;0.725463
250;19;1.021252;0.770513;1.500000;0.130061;4.504522;6.873936;5.263158;0.715642
251;19;1.021860;0.780261;1.500000;0.129091;4.505514;6.800987;5.263158;0.706456
252;19;1.022460;0.789786;1.500000;0.128180;4.506502;6.729013;5.263158;0.697898
253;19;1.023054;0.799095;1.500000;0.127325;4.507486;6.671848;5.263158;0.689963
254;19;1.023640;0.808193;1.500000;0.126523;4.508465;6.660023;5.263158;0.682642
255;19;1.024221;0.817086;1.500000;0.125774;4.509441;6.648414;5.263158;0.675929
256;19;1.024794;0.825780;1.500000;0.125073;4.510412;6.637016;5.263158;0.669815
257;19;1.025362;0.834280;1.500000;0.124419;4.511380;6.625823;5.263158;0.664292
258;19;1.025923;0.842591;1.500000;0.123809;4.512343;6.614831;5.263158;0.659351
259;19;1.026478;0.850719;1.500000;0.123242;4.513303;6.604034;5.263158;0.654982
260;19;1.027028;0.858667;1.500000;0.122714;4.514258;6.593427;5.263158;0.651174
261;18;1.056908;0.936649;1.500000;0.156124;4.515210;12.481792;5.555556;1.773344
262;18;1.057175;0.937099;1.500000;0.155180;4.516158;12.479652;5.555556;1.773056
263;18;1.057439;0.937548;1.500000;0.154273;4.517103;12.477027;5.555556;1.772801
264;18;1.057701;0.937995;1.500000;0.153400;4.518043;12.473927;5.555556;1.772574
265;18;1.057960;0.938442;1.500000;0.152559;4.518980;12.470360;5.555556;1.772371
266;18;1.058217;0.938887;1.500000;0.151750;4.519913;12.466336;5.555556;1.772190
267;18;1.058472;0.939330;1.500000;0.150971;4.508888;12.461864;5.555556;1.772026
268;18;1.058724;0.939772;1.500000;0.150222;4.465808;12.456953;5.555556;1.771879
269;18;1.058974;0.940212;1.500000;0.149500;4.423560;12.451611;5.555556;1.771744
270;18;1.059222;0.940650;1.500000;0.148804;4.382124;12.445847;5.555556;1.771619
271;18;1.059468;0.941086;1.500000;0.148134;4.341478;12.439668;5.555556;1.771503
272;18;1.059711;0.941520;1.500000;0.147489;4.301605;12.433083;5.555556;1.771393
273;18;1.059952;0.941952;1.500000;0.146867;4.262486;12.426099;5.555556;1.771288
274;18;1.060192;0.942381;1.500000;0.146268;4.224102;12.418724;5.555556;1.771186
275;18;1.060429;0.942808;1.500000;0.145690;4.186435;12.410965;5.555556;1.771086
276;18;1.060664;0.943233;1.500000;0.145133;4.149469;12.402829;5.555556;1.770985
277;18;1.060897;0.943656;1.500000;0.144596;4.113187;12.394324;5.555556;1.770884
278;18;1.061129;0.944076;1.500000;0.144078;4.077572;12.385456;5.555556;1.770780
279;18;1.061358;0.944493;1.500000;0.143579;4.042609;12.376232;5.555556;1.770673
280;18;1.061586;0.944908;1.500000;0.143097;4.008283;12.366658;5.555556;1.770563
281;18;1.061811;0.945320;1.500000;0.142632;3.974577;12.356740;5.555556;1.770447
282;18;1.062035;0.945730;1.500000;0.142183;3.941478;12.346486;5.555556;1.770327
283;18;1.062258;0.946136;1.500000;0.141749;3.908972;12.335901;5.555556;1.770200
284;18;1.062478;0.946541;1.500000;0.141331;3.877044;12.324991;5.555556;1.770067
285;18;1.062697;0.946942;1.500000;0.140927;3.845681;12.313761;5.555556;1.769927
